strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,valid_window_count,robust_validation_score,mean_validation_net_return,median_validation_net_return,min_validation_net_return,worst_window_max_drawdown,worst_window_divergent_loss,positive_window_rate,validation_top_rank_rate,windows_won,mean_validation_total_fees,mean_validation_total_transaction_cost,mean_validation_rebalance_count,eligible
ewma,volatility,ewma,0.75,0.99,0.7,False,15.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,1,0.0062535194147832485,0.0031267597073916242,0.0031267597073916242,0.0031267597073916242,0.0,0.0031267597073916242,1.0,1.0,1,1.6745798093783,0.3298596336641144,3.0,True
ewma,volatility,ewma,0.75,0.99,0.7,False,5.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,1,0.006119450285054562,0.003059725142527281,0.003059725142527281,0.003059725142527281,0.0,0.003059725142527281,1.0,0.0,0,1.6745382891345655,0.35985963366411444,4.0,True
ewma,volatility,ewma,0.75,0.99,0.7,False,10.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,1,0.006119450285054562,0.003059725142527281,0.003059725142527281,0.003059725142527281,0.0,0.003059725142527281,1.0,0.0,0,1.6745382891345655,0.35985963366411444,4.0,True
ewma,volatility,ewma,0.75,0.95,0.8,False,10.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,1,0.004063973970967805,0.0020319869854839023,0.0020319869854839023,0.0020319869854839023,0.0,0.0020319869854839023,1.0,0.0,0,1.5936943302622109,0.27171729424638635,1.0,True
ewma,volatility,ewma,1.0,0.95,0.8,False,10.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,1,0.004063973970967805,0.0020319869854839023,0.0020319869854839023,0.0020319869854839023,0.0,0.0020319869854839023,1.0,0.0,0,1.5936943302622109,0.27171729424638635,1.0,True
ewma,volatility,ewma,1.0,0.95,0.8,False,15.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,1,0.004063973970967805,0.0020319869854839023,0.0020319869854839023,0.0020319869854839023,0.0,0.0020319869854839023,1.0,0.0,0,1.5936943302622109,0.27171729424638635,1.0,True
ewma,volatility,ewma,1.0,0.975,0.7,False,10.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,1,0.004063973970967805,0.0020319869854839023,0.0020319869854839023,0.0020319869854839023,0.0,0.0020319869854839023,1.0,0.0,0,1.5936943302622109,0.27171729424638635,1.0,True
ewma,volatility,ewma,1.0,0.975,0.7,False,15.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,1,0.004063973970967805,0.0020319869854839023,0.0020319869854839023,0.0020319869854839023,0.0,0.0020319869854839023,1.0,0.0,0,1.5936943302622109,0.27171729424638635,1.0,True
ewma,volatility,ewma,1.25,0.95,0.7,False,10.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,1,0.004063973970967805,0.0020319869854839023,0.0020319869854839023,0.0020319869854839023,0.0,0.0020319869854839023,1.0,0.0,0,1.5936943302622109,0.27171729424638635,1.0,True
ewma,volatility,ewma,1.25,0.95,0.7,False,15.0,,,,,,,,1,spot,100.0,450.0,0.015,0.015,False,1,0.004063973970967805,0.0020319869854839023,0.0020319869854839023,0.0020319869854839023,0.0,0.0020319869854839023,1.0,0.0,0,1.5936943302622109,0.27171729424638635,1.0,True
